zip,type,decommissioned,primary_city,acceptable_cities,unacceptable_cities,state,county,timezone,area_codes,world_region,country,latitude,longitude,irs_estimated_population
91724,STANDARD,0,Covina,,Charter Oak,CA,Los Angeles County,America/Los_Angeles,"626, 840, 909",,US,34.07,-117.84,24300
91731,STANDARD,0,El Monte,,,CA,Los Angeles County,America/Los_Angeles,626,,US,34.08,-118.03,24010
91732,STANDARD,0,El Monte,"City Industry, City Of Industry",,CA,Los Angeles County,America/Los_Angeles,626,,US,34.07,-118.01,52340
91733,STANDARD,0,South El Monte,"El Monte, S El Monte",,CA,Los Angeles County,America/Los_Angeles,"213, 323, 562, 626",,US,34.04,-118.04,37260
91734,PO BOX,0,El Monte,,,CA,Los Angeles County,America/Los_Angeles,626,,US,34.07,-118.03,1122
91735,UNIQUE,0,El Monte,,Wells Fargo Bank,CA,Los Angeles County,America/Los_Angeles,626,,US,34.07,-118.02,29
91740,STANDARD,0,Glendora,,,CA,Los Angeles County,America/Los_Angeles,"626, 840, 909",,US,34.11,-117.85,23980
91741,STANDARD,0,Glendora,,,CA,Los Angeles County,America/Los_Angeles,"626, 840, 909",,US,34.14,-117.85,24830
91744,STANDARD,0,La Puente,"City Industry, City Of Industry",,CA,Los Angeles County,America/Los_Angeles,626,,US,34.02,-117.93,76220
91746,STANDARD,0,La Puente,"Bassett, City Industry, City Of Industry",,CA,Los Angeles County,America/Los_Angeles,"562, 626",,US,34.04,-117.98,27900
91747,PO BOX,0,La Puente,,,CA,Los Angeles County,America/Los_Angeles,626,,US,34.02,-117.94,1454
91749,PO BOX,0,La Puente,,,CA,Los Angeles County,America/Los_Angeles,626,,US,34.03,-117.95,0
91750,STANDARD,0,La Verne,,,CA,Los Angeles County,America/Los_Angeles,"626, 840, 909",,US,34.15,-117.76,30940
91754,STANDARD,0,Monterey Park,,,CA,Los Angeles County,America/Los_Angeles,"213, 323, 626",,US,34.05,-118.14,32030
91755,STANDARD,0,Monterey Park,,,CA,Los Angeles County,America/Los_Angeles,"213, 323, 626",,US,34.05,-118.11,26650
91756,UNIQUE,0,Monterey Park,,"Mont Park, Mont Pk, Monterey Pk, Southern California Gas Co",CA,Los Angeles County,America/Los_Angeles,626,,US,34.04,-118.13,0
91765,STANDARD,0,Diamond Bar,Pomona,,CA,Los Angeles County,America/Los_Angeles,"562, 657, 714, 840, 909",,US,33.99,-117.81,43770
91766,STANDARD,0,Pomona,"Phillips Ranch, Phillips Rnch",,CA,Los Angeles County,America/Los_Angeles,"840, 909",,US,34.03,-117.75,63750
91767,STANDARD,0,Pomona,,,CA,Los Angeles County,America/Los_Angeles,"840, 909",,US,34.08,-117.73,44180
91768,STANDARD,0,Pomona,,,CA,Los Angeles County,America/Los_Angeles,"626, 840, 909",,US,34.06,-117.79,27730
91769,PO BOX,0,Pomona,,,CA,Los Angeles County,America/Los_Angeles,909,,US,34.06,-117.75,1925
91770,STANDARD,0,Rosemead,,,CA,Los Angeles County,America/Los_Angeles,"213, 323, 626",,US,34.06,-118.08,53550
91771,UNIQUE,0,Rosemead,,So Cal Edison Co,CA,Los Angeles County,America/Los_Angeles,626,,US,34.06,-118.08,0
91772,UNIQUE,0,Rosemead,,So Cal Edison Co,CA,Los Angeles County,America/Los_Angeles,626,,US,34.06,-118.08,0
91773,STANDARD,0,San Dimas,,,CA,Los Angeles County,America/Los_Angeles,"626, 840, 909",,US,34.1,-117.81,30960
91775,STANDARD,0,San Gabriel,,,CA,Los Angeles County,America/Los_Angeles,626,,US,34.11,-118.08,21870
91776,STANDARD,0,San Gabriel,,,CA,Los Angeles County,America/Los_Angeles,626,,US,34.08,-118.09,34710
91778,PO BOX,0,San Gabriel,,,CA,Los Angeles County,America/Los_Angeles,626,,US,34.1,-118.1,953
91780,STANDARD,0,Temple City,,,CA,Los Angeles County,America/Los_Angeles,626,,US,34.1,-118.05,33250
91788,PO BOX,0,Walnut,,,CA,Los Angeles County,America/Los_Angeles,909,,US,34.01,-117.86,808
91789,STANDARD,0,Walnut,"City Industry, City Of Industry, Diamond Bar",,CA,Los Angeles County,America/Los_Angeles,"626, 840, 909",,US,34.01,-117.85,41290
91790,STANDARD,0,West Covina,,,CA,Los Angeles County,America/Los_Angeles,626,,US,34.06,-117.94,41390
91791,STANDARD,0,West Covina,,,CA,Los Angeles County,America/Los_Angeles,"626, 840, 909",,US,34.06,-117.89,30720
91792,STANDARD,0,West Covina,,,CA,Los Angeles County,America/Los_Angeles,"626, 840, 909",,US,34.02,-117.9,26310
91793,PO BOX,0,West Covina,,,CA,Los Angeles County,America/Los_Angeles,626,,US,34.06,-117.92,1013
91795,UNIQUE,1,Walnut,,Federal Home Loan Bank,CA,Los Angeles County,America/Los_Angeles,909,,US,34.02,-117.85,0
91797,UNIQUE,1,Pomona,Bureau Of The Census,,CA,Los Angeles County,America/Los_Angeles,909,,US,34.08,-117.96,0
91799,UNIQUE,1,Pomona,,Focus On The Family,CA,Los Angeles County,America/Los_Angeles,909,,US,34.05,-117.75,0
91801,STANDARD,0,Alhambra,,,CA,Los Angeles County,America/Los_Angeles,"213, 323, 626",,US,34.09,-118.13,45480
91802,PO BOX,0,Alhambra,,,CA,Los Angeles County,America/Los_Angeles,626,,US,34.09,-118.12,1640
91803,STANDARD,0,Alhambra,,,CA,Los Angeles County,America/Los_Angeles,"213, 323, 626",,US,34.07,-118.14,26660
91804,STANDARD,0,Alhambra,,,CA,Los Angeles County,America/Los_Angeles,"323, 626, 818",,US,34.09,-118.12,0
91841,UNIQUE,1,Alhambra,,Carter Hawley Hale,CA,Los Angeles County,America/Los_Angeles,626,,US,34.09,-118.12,0
91896,PO BOX,0,Alhambra,,,CA,Los Angeles County,America/Los_Angeles,626,,US,34.09,-118.12,0
91899,PO BOX,0,Alhambra,,,CA,Los Angeles County,America/Los_Angeles,626,,US,34.08,-118.13,0
93534,STANDARD,0,Lancaster,,"Del Sur, Fairmont, Hi Vista, Lane, Wilsona Gardens",CA,Los Angeles County,America/Los_Angeles,661,,US,34.72,-118.15,33650
93535,STANDARD,0,Lancaster,"Hi Vista, Lake La, Lake Los Angeles","Roosevelt Corner, Wilsona Gardens",CA,Los Angeles County,America/Los_Angeles,"442, 661, 760",,US,34.69,-117.9,69370
93536,STANDARD,0,Lancaster,"Del Sur, Quartz Hill","Fairmont, Metler Valley, Neenach",CA,Los Angeles County,America/Los_Angeles,661,,US,34.72,-118.48,63390
93539,PO BOX,0,Lancaster,,,CA,Los Angeles County,America/Los_Angeles,661,,US,34.68,-118.12,3046
93550,STANDARD,0,Palmdale,"Lake La, Lake Los Angeles",,CA,Los Angeles County,America/Los_Angeles,"661, 747, 818",,US,34.52,-118.08,70660
93551,STANDARD,0,Palmdale,"City Ranch, Leona Valley, Quartz Hill",,CA,Los Angeles County,America/Los_Angeles,661,,US,34.61,-118.27,50600
93552,STANDARD,0,Palmdale,,,CA,Los Angeles County,America/Los_Angeles,661,,US,34.57,-118.02,38890
93584,PO BOX,0,Lancaster,,,CA,Los Angeles County,America/Los_Angeles,661,,US,34.69,-118.13,624
93586,PO BOX,0,Lancaster,Quartz Hill,,CA,Los Angeles County,America/Los_Angeles,661,,US,34.64,-118.21,191
93590,PO BOX,0,Palmdale,,,CA,Los Angeles County,America/Los_Angeles,661,,US,34.57,-118.08,1866
93591,STANDARD,0,Palmdale,"Lake La, Lake Los Angeles",,CA,Los Angeles County,America/Los_Angeles,"442, 661, 760",,US,34.61,-117.81,6120
93599,UNIQUE,0,Palmdale,,Lockheed Advanced Dev Co,CA,Los Angeles County,America/Los_Angeles,661,,US,34.57,-118.11,0
