zip,type,decommissioned,primary_city,acceptable_cities,unacceptable_cities,state,county,timezone,area_codes,world_region,country,latitude,longitude,irs_estimated_population
90603,STANDARD,0,Whittier,,,CA,Los Angeles County,America/Los_Angeles,562,,US,33.94,-117.99,19650
90604,STANDARD,0,Whittier,,,CA,Los Angeles County,America/Los_Angeles,562,,US,33.93,-118.0,37090
90605,STANDARD,0,Whittier,,,CA,Los Angeles County,America/Los_Angeles,"562, 626",,US,33.95,-118.02,37930
90606,STANDARD,0,Whittier,Los Nietos,,CA,Los Angeles County,America/Los_Angeles,562,,US,33.98,-118.06,29280
90607,PO BOX,0,Whittier,,,CA,Los Angeles County,America/Los_Angeles,562,,US,33.96,-118.02,719
90608,PO BOX,0,Whittier,,,CA,Los Angeles County,America/Los_Angeles,562,,US,33.97,-118.02,520
90609,PO BOX,0,Whittier,,,CA,Los Angeles County,America/Los_Angeles,562,,US,33.97,-118.03,465
90610,PO BOX,0,Whittier,Los Nietos,,CA,Los Angeles County,America/Los_Angeles,562,,US,33.96,-118.07,233
90612,UNIQUE,1,Whittier,,Whittier Asb,CA,Los Angeles County,America/Los_Angeles,562,,US,33.96,-118.02,0
90637,PO BOX,0,La Mirada,,,CA,Los Angeles County,America/Los_Angeles,562,,US,33.89,-118.0,866
90638,STANDARD,0,La Mirada,"Lamirada, Mirada",,CA,Los Angeles County,America/Los_Angeles,"562, 657, 714",,US,33.9,-118.0,42320
90639,UNIQUE,0,La Mirada,,Biola University,CA,Los Angeles County,America/Los_Angeles,"562, 657, 714",,US,33.91,-118.01,191
90640,STANDARD,0,Montebello,,,CA,Los Angeles County,America/Los_Angeles,"213, 323, 562, 626",,US,34.02,-118.11,55600
90650,STANDARD,0,Norwalk,,,CA,Los Angeles County,America/Los_Angeles,562,,US,33.9,-118.07,94120
90651,PO BOX,0,Norwalk,,,CA,Los Angeles County,America/Los_Angeles,562,,US,33.9,-118.07,1231
90652,PO BOX,0,Norwalk,,,CA,Los Angeles County,America/Los_Angeles,562,,US,33.91,-118.07,291
90659,UNIQUE,1,Norwalk,,Mw,CA,Los Angeles County,America/Los_Angeles,562,,US,33.9,-118.07,0
90660,STANDARD,0,Pico Rivera,,,CA,Los Angeles County,America/Los_Angeles,"213, 323, 562, 626",,US,33.99,-118.09,57030
90661,PO BOX,0,Pico Rivera,,,CA,Los Angeles County,America/Los_Angeles,562,,US,34.0,-118.08,179
90662,PO BOX,0,Pico Rivera,,,CA,Los Angeles County,America/Los_Angeles,562,,US,33.96,-118.09,235
90670,STANDARD,0,Santa Fe Springs,Santa Fe Spgs,,CA,Los Angeles County,America/Los_Angeles,"562, 657, 714",,US,33.92,-118.06,15580
90671,PO BOX,0,Santa Fe Springs,Santa Fe Spgs,,CA,Los Angeles County,America/Los_Angeles,562,,US,33.93,-118.06,0
90701,STANDARD,0,Artesia,Cerritos,,CA,Los Angeles County,America/Los_Angeles,562,,US,33.86,-118.08,14770
